iter	Passed	Remaining
0	439	438773
1	696	347406
2	961	319465
3	1241	309071
4	1525	303510
5	1821	301743
6	2122	301083
7	2421	300298
8	2709	298348
9	2992	296247
10	3280	294965
11	3568	293767
12	3865	293447
13	4171	293772
14	4463	293093
15	4744	291802
16	5047	291869
17	5350	291901
18	5652	291859
19	5931	290664
20	6208	289421
21	6464	287380
22	6736	286139
23	6992	284363
24	7278	283878
25	7568	283509
26	7871	283671
27	8177	283862
28	8471	283661
29	8762	283326
30	9044	282705
31	9328	282189
32	9618	281837
33	9904	281413
34	10184	280810
35	10485	280769
36	10791	280867
37	11082	280570
38	11381	280452
39	11679	280298
40	11951	279551
41	12210	278508
42	12496	278114
43	12746	276940
44	13009	276098
45	13286	275552
46	13577	275303
47	13870	275100
48	14170	275014
49	14432	274219
50	14728	274070
51	15013	273703
52	15297	273336
53	15558	272562
54	15830	271990
55	16095	271327
56	16384	271068
57	16695	271163
58	16985	270898
59	17267	270528
60	17555	270246
61	17849	270041
62	18137	269752
63	18412	269289
64	18697	268950
65	18957	268274
66	19226	267731
67	19507	267371
68	19771	266767
69	20064	266569
70	20386	266749
71	20677	266505
72	20965	266235
73	21260	266046
74	21522	265446
75	21796	264994
76	22064	264484
77	22358	264293
78	22641	263955
79	22941	263822
80	23212	263359
81	23512	263229
82	23811	263074
83	24113	262954
84	24413	262805
85	24704	262560
86	24991	262264
87	25246	261642
88	25510	261121
89	25787	260741
90	26065	260364
91	26352	260087
92	26634	259760
93	26936	259618
94	27217	259279
95	27498	258944
96	27787	258684
97	28070	258367
98	28340	257931
99	28628	257652
100	28927	257479
101	29206	257130
102	29494	256857
103	29791	256666
104	30093	256513
105	30391	256319
106	30681	256060
107	30967	255769
108	31243	255395
109	31531	255117
110	31786	254575
111	32034	253991
112	32311	253631
113	32587	253265
114	32885	253071
115	33174	252810
116	33470	252605
117	33767	252401
118	34038	252000
119	34333	251775
120	34589	251274
121	34871	250960
122	35149	250616
123	35445	250402
124	35736	250158
125	36028	249912
126	36325	249698
127	36619	249468
